Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Ericsson Open,2001-03-19,Masters,Outdoor,Hard,2nd Round,3,Federer R.,El Aynaoui Y.,Federer R.,24,58,-1,-1,1.29,3.0249999999999995,6-2 6-2    
Ericsson Open,2001-03-19,Masters,Outdoor,Hard,3rd Round,3,Philippoussis M.,Federer R.,Federer R.,16,24,-1,-1,1.79575,1.82075,6-3 6-7 2-6   
Ericsson Open,2001-03-19,Masters,Outdoor,Hard,4th Round,3,Federer R.,Johansson T.,Federer R.,24,25,-1,-1,1.54075,2.21375,7-6 5-7 7-6   
Ericsson Open,2001-03-19,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Rafter P.,Rafter P.,24,8,-1,-1,2.05,1.61775,3-6 1-6    
Monte Carlo Masters,2001-04-16,Masters,Outdoor,Clay,1st Round,3,Federer R.,Chang M.,Federer R.,22,33,-1,-1,1.4366666666666668,2.433333333333333,6-4 6-3    
Monte Carlo Masters,2001-04-16,Masters,Outdoor,Clay,2nd Round,3,Sanguinetti D.,Federer R.,Federer R.,55,22,-1,-1,2.68125,1.3659999999999999,6-7 6-7    
Monte Carlo Masters,2001-04-16,Masters,Outdoor,Clay,3rd Round,3,Federer R.,di Pasquale A.,Federer R.,22,67,-1,-1,1.54,2.25,6-1 6-2    
Monte Carlo Masters,2001-04-16,Masters,Outdoor,Clay,Quarterfinals,3,Federer R.,Grosjean S.,Grosjean S.,22,15,-1,-1,1.9249999999999998,1.71675,4-6 3-6    
Rome TMS,2001-05-07,Masters,Outdoor,Clay,1st Round,3,Federer R.,Johansson T.,Federer R.,18,24,-1,-1,1.375,2.6375,7-6 4-6 7-6   
Rome TMS,2001-05-07,Masters,Outdoor,Clay,2nd Round,3,Safin M.,Federer R.,Federer R.,2,18,-1,-1,1.75,1.8772499999999999,6-4 4-6 6-7   
Rome TMS,2001-05-07,Masters,Outdoor,Clay,3rd Round,3,Ferreira W.,Federer R.,Ferreira W.,19,18,-1,-1,2.2125000000000004,1.5302499999999999,7-6 6-2    
Hamburg TMS,2001-05-14,Masters,Outdoor,Clay,1st Round,3,Federer R.,Squillari F.,Squillari F.,18,19,-1,-1,1.79825,1.8082500000000001,3-6 4-6    
French Open,2001-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Federer R.,Galvani S.,Federer R.,18,239,-1,-1,1.1755,4.033250000000001,6-3 6-3 6-3   
French Open,2001-05-28,Grand Slam,Outdoor,Clay,2nd Round,5,Sargsian S.,Federer R.,Federer R.,115,18,-1,-1,3.55,1.2215,6-4 6-3 2-6 4-6 7-9 
French Open,2001-05-28,Grand Slam,Outdoor,Clay,3rd Round,5,Federer R.,Sanchez D.,Federer R.,18,89,-1,-1,1.53525,2.2,6-4 6-3 1-6 6-3  
French Open,2001-05-28,Grand Slam,Outdoor,Clay,4th Round,5,Arthurs W.,Federer R.,Federer R.,59,18,-1,-1,2.925,1.3215,6-3 3-6 4-6 2-6  
French Open,2001-05-28,Grand Slam,Outdoor,Clay,Quarterfinals,5,Corretja A.,Federer R.,Corretja A.,13,18,-1,-1,1.236,3.8125,7-5 6-4 7-5   
Gerry Weber Open,2001-06-11,International,Outdoor,Grass,1st Round,3,Portas A.,Federer R.,Federer R.,23,14,-1,-1,3.4299999999999997,1.2166666666666668,7-6 4-6 2-6   
Gerry Weber Open,2001-06-11,International,Outdoor,Grass,2nd Round,3,Federer R.,Prinosil D.,Federer R.,14,28,-1,-1,1.59125,2.1000000000000005,7-6 7-5    
Gerry Weber Open,2001-06-11,International,Outdoor,Grass,Quarterfinals,3,Federer R.,Rafter P.,Rafter P.,14,10,-1,-1,2.6,1.3875000000000002,6-4 6-7 6-7   
Heineken Trophy,2001-06-18,International,Outdoor,Grass,1st Round,3,Federer R.,Dupuis A.,Federer R.,15,68,-1,-1,1.29575,2.9875,7-6 6-4    
Heineken Trophy,2001-06-18,International,Outdoor,Grass,2nd Round,3,van Lottum J.,Federer R.,Federer R.,193,15,-1,-1,3.4125,1.225,0-6 1-6    
Heineken Trophy,2001-06-18,International,Outdoor,Grass,Quarterfinals,3,Federer R.,Sluiter R.,Federer R.,15,107,-1,-1,1.355,2.745,6-7 6-4 6-4   
Heineken Trophy,2001-06-18,International,Outdoor,Grass,Semifinals,3,Federer R.,Hewitt L.,Hewitt L.,15,6,-1,-1,2.55,1.4074999999999998,4-6 2-6    
Wimbledon,2001-06-25,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Rochus C.,Federer R.,15,83,-1,-1,1.09825,5.15,6-2 6-3 6-2   
Wimbledon,2001-06-25,Grand Slam,Outdoor,Grass,2nd Round,5,Malisse X.,Federer R.,Federer R.,53,15,-1,-1,3.05,1.295,3-6 5-7 6-3 6-4 3-6 
Wimbledon,2001-06-25,Grand Slam,Outdoor,Grass,3rd Round,5,Federer R.,Bjorkman J.,Federer R.,15,41,-1,-1,1.48775,2.3075,7-6 6-3 7-6   
Wimbledon,2001-06-25,Grand Slam,Outdoor,Grass,4th Round,5,Sampras P.,Federer R.,Federer R.,6,15,-1,-1,1.2229999999999999,3.6125,6-7 7-5 4-6 7-6 5-7 
Wimbledon,2001-06-25,Grand Slam,Outdoor,Grass,Quarterfinals,5,Henman T.,Federer R.,Henman T.,11,15,-1,-1,1.6656666666666666,2.0,7-5 7-6 2-6 7-6  
Gstaad Open,2001-07-09,International,Outdoor,Clay,1st Round,3,Federer R.,Ljubicic I.,Ljubicic I.,14,70,-1,-1,1.30575,2.9625000000000004,2-6 1-6    
US Open,2001-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Burgsmuller L.,Federer R.,13,72,-1,-1,1.1287500000000001,4.8500000000000005,6-4 6-4 6-4   
US Open,2001-08-27,Grand Slam,Outdoor,Hard,2nd Round,5,Ginepri R.,Federer R.,Federer R.,327,13,-1,-1,5.083333333333333,1.1176666666666666,2-6 5-7 1-6   
US Open,2001-08-27,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Schalken S.,Federer R.,13,24,-1,-1,1.3285,2.8687500000000004,6-4 7-5 7-6   
US Open,2001-08-27,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Agassi A.,Agassi A.,13,2,-1,-1,3.025,1.29575,1-6 2-6 4-6   
Kremlin Cup,2001-10-01,International,Indoor,Carpet,1st Round,3,Kiefer N.,Federer R.,Kiefer N.,39,12,-1,-1,2.325,1.4875,6-3 1-6 7-6   
CA Tennis Trophy,2001-10-08,International Gold,Indoor,Hard,1st Round,3,Massu N.,Federer R.,Federer R.,78,12,-1,-1,-1.0,-1.0,6-4 6-7 4-6   
CA Tennis Trophy,2001-10-08,International Gold,Indoor,Hard,2nd Round,3,Federer R.,Costa A.,Federer R.,12,33,-1,-1,1.2575,3.25,7-6 6-2    
CA Tennis Trophy,2001-10-08,International Gold,Indoor,Hard,Quarterfinals,3,Federer R.,Koubek S.,Koubek S.,12,90,-1,-1,1.2465000000000002,3.2750000000000004,1-6 4-6    
Stuttgart TMS,2001-10-15,Masters,Indoor,Hard,2nd Round,3,Ferreira W.,Federer R.,Ferreira W.,36,12,-1,-1,2.533333333333333,1.3933333333333333,7-6 3-6 6-2   
Swiss Indoors,2001-10-22,International,Indoor,Carpet,1st Round,3,Costa A.,Federer R.,Federer R.,34,13,-1,-1,3.65,1.2075,3-6 3-6    
Swiss Indoors,2001-10-22,International,Indoor,Carpet,2nd Round,3,Federer R.,Malisse X.,Federer R.,13,39,-1,-1,1.4235,2.51375,6-3 6-4    
Swiss Indoors,2001-10-22,International,Indoor,Carpet,Quarterfinals,3,Roddick A.,Federer R.,Federer R.,16,13,-1,-1,2.0749999999999997,1.61675,6-3 3-6 6-7   
Swiss Indoors,2001-10-22,International,Indoor,Carpet,Semifinals,3,Federer R.,Boutter J.,Federer R.,13,64,-1,-1,1.32825,2.875,7-6 6-4    
Swiss Indoors,2001-10-22,International,Indoor,Carpet,The Final,5,Federer R.,Henman T.,Henman T.,13,11,-1,-1,-1.0,-1.0,3-6 4-6 2-6   
BNP Paribas,2001-10-29,Masters,Indoor,Carpet,2nd Round,3,Novak J.,Federer R.,Novak J.,40,13,-1,-1,2.68125,1.3785,6-4 6-7 7-6   
adidas International,2002-01-07,International,Outdoor,Hard,1st Round,3,Robredo T.,Federer R.,Federer R.,34,13,-1,-1,2.0666666666666664,1.5999999999999999,6-7 6-7    
adidas International,2002-01-07,International,Outdoor,Hard,2nd Round,3,Federer R.,Malisse X.,Federer R.,13,31,-1,-1,1.51,2.25,6-2 6-4    
adidas International,2002-01-07,International,Outdoor,Hard,Quarterfinals,3,Rios M.,Federer R.,Federer R.,47,13,-1,-1,2.31875,1.50325,7-6 6-7 3-6   
adidas International,2002-01-07,International,Outdoor,Hard,Semifinals,3,Federer R.,Roddick A.,Federer R.,13,15,-1,-1,1.90225,1.75,7-6 6-4    
adidas International,2002-01-07,International,Outdoor,Hard,The Final,3,Chela J.I.,Federer R.,Federer R.,67,13,-1,-1,2.9625000000000004,1.31575,3-6 3-6    
Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Chang M.,Federer R.,12,94,-1,-1,1.11825,5.1,6-4 6-4 6-3   
Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,2nd Round,5,Savolt A.,Federer R.,Federer R.,93,12,-1,-1,7.125,1.04825,2-6 5-7 4-6   
Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,3rd Round,5,Federer R.,Schuettler R.,Federer R.,12,41,-1,-1,1.2165,3.675,7-6 7-6 6-4   
Australian Open,2002-01-14,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Haas T.,Haas T.,12,9,-1,-1,1.6823333333333332,1.9600000000000002,6-7 6-4 6-3 4-6 6-8 
Milan Indoors,2002-01-28,International,Indoor,Carpet,1st Round,3,Federer R.,Koubek S.,Federer R.,13,50,-1,-1,1.2265000000000001,3.5,7-6 6-3    
Milan Indoors,2002-01-28,International,Indoor,Carpet,2nd Round,3,Davydenko N.,Federer R.,Federer R.,84,13,-1,-1,4.225,1.15925,3-6 7-6 5-7   
Milan Indoors,2002-01-28,International,Indoor,Carpet,Quarterfinals,3,Federer R.,Sargsian S.,Federer R.,13,74,-1,-1,1.21,3.6375,4-6 6-3 6-2   
Milan Indoors,2002-01-28,International,Indoor,Carpet,Semifinals,3,Rusedski G.,Federer R.,Federer R.,30,13,-1,-1,2.1125,1.60375,6-7 6-7    
Milan Indoors,2002-01-28,International,Indoor,Carpet,The Final,3,Sanguinetti D.,Federer R.,Sanguinetti D.,87,13,-1,-1,3.8875,1.1875,7-6 4-6 6-1   
ABN AMRO World Tennis Tournament,2002-02-18,International Gold,Indoor,Hard,1st Round,3,van Lottum J.,Federer R.,Federer R.,124,13,-1,-1,5.1000000000000005,1.1,3-6 4-6    
ABN AMRO World Tennis Tournament,2002-02-18,International Gold,Indoor,Hard,Quarterfinals,3,Escude N.,Federer R.,Escude N.,22,13,-1,-1,1.9166666666666667,1.7,3-6 7-6 7-5   
Dubai Championships,2002-02-25,International Gold,Outdoor,Hard,1st Round,3,Voinea A.,Federer R.,Federer R.,76,14,-1,-1,3.983333333333333,1.1723333333333332,3-6 4-6    
Dubai Championships,2002-02-25,International Gold,Outdoor,Hard,2nd Round,3,Schuettler R.,Federer R.,Schuettler R.,40,14,-1,-1,2.7750000000000004,1.3575,6-3 6-1    
Pacific Life Open,2002-03-11,Masters,Outdoor,Hard,1st Round,3,Malisse X.,Federer R.,Federer R.,33,14,-1,-1,2.38125,1.4835,7-6 6-7 3-6   
Pacific Life Open,2002-03-11,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Koubek S.,Federer R.,14,51,-1,-1,1.2375,3.475,6-4 6-4    
Pacific Life Open,2002-03-11,Masters,Outdoor,Hard,3rd Round,3,Federer R.,Enqvist T.,Enqvist T.,14,22,-1,-1,1.7249999999999999,1.9397499999999999,4-6 3-6    
NASDAQ-100 Open,2002-03-18,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Morrison J.,Federer R.,14,139,-1,-1,1.1775,4.075,6-1 7-6    
NASDAQ-100 Open,2002-03-18,Masters,Outdoor,Hard,3rd Round,3,Portas A.,Federer R.,Federer R.,25,14,-1,-1,4.75,1.1212499999999999,4-6 1-6    
NASDAQ-100 Open,2002-03-18,Masters,Outdoor,Hard,Quarterfinals,3,Federer R.,Pavel A.,Federer R.,14,28,-1,-1,1.3935,2.64375,6-1 6-1    
NASDAQ-100 Open,2002-03-18,Masters,Outdoor,Hard,Semifinals,3,Hewitt L.,Federer R.,Federer R.,1,14,-1,-1,1.3659999999999999,2.73125,3-6 4-6    
NASDAQ-100 Open,2002-03-18,Masters,Outdoor,Hard,The Final,5,Agassi A.,Federer R.,Agassi A.,10,14,-1,-1,1.475,2.3875,6-3 6-3 3-6 6-4  
