Date,Round,Court,Surface,Series,Tournament,tourney_weight,Winner,loser,game_ratio_1,game_ratio_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,player_num,player,game_ratio,rank,points,odds,year,week,corr_date
09/21/2020,The Final,Outdoor,Clay,Masters 1000,Internazionali BNL d'Italia,1000,Djokovic N.,Schwartzman D.,1.625,0.615,1,15,10860,2265,1.16,5,Player_1,Djokovic N.,1.625,1,10860,1.16,2020,39,09/21/2020
09/29/2020,1st Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Ymer M.,3.6,0.278,1,80,11260,763,1.01,23,Player_1,Djokovic N.,3.6,1,11260,1.01,2020,40,09/29/2020
10/01/2020,2nd Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Berankis R.,3.6,0.278,1,66,11260,854,34,0.971,Player_1,Djokovic N.,3.6,1,11260,34,2020,40,10/01/2020
10/03/2020,3rd Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Galan D.,3.6,0.278,1,153,11260,379,1.005,34,Player_1,Djokovic N.,3.6,1,11260,1.005,2020,40,10/03/2020
09/28/2020,1st Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Gerasimov E.,0.556,1.8,83,2,750,9850,34,0.971,Player_2,Nadal R.,1.8,2,9850,0.971,2020,40,09/28/2020
09/30/2020,2nd Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Mcdonald M.,0.222,4.5,236,2,217,9850,26,1.01,Player_2,Nadal R.,4.5,2,9850,1.01,2020,40,09/30/2020
10/02/2020,3rd Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Travaglia S.,0.278,3.6,74,2,794,9850,34,1.005,Player_2,Nadal R.,3.6,2,9850,1.005,2020,40,10/02/2020
10/04/2020,4th Round,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Korda S.,0.222,4.5,213,2,252,9850,26,1.01,Player_2,Nadal R.,4.5,2,9850,1.01,2020,40,10/04/2020
10/05/2020,4th Round,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Khachanov K.,1.8,0.556,1,16,11260,2200,1.04,13,Player_1,Djokovic N.,1.8,1,11260,1.04,2020,41,10/05/2020
10/07/2020,Quarterfinals,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Carreno Busta P.,1.467,0.682,1,18,11260,2130,1.06,10,Player_1,Djokovic N.,1.467,1,11260,1.06,2020,41,10/07/2020
10/09/2020,Semifinals,Outdoor,Clay,Grand Slam,French Open,1500,Djokovic N.,Tsitsipas S.,1.421,0.704,1,6,11260,5385,1.33,3.4,Player_1,Djokovic N.,1.421,1,11260,1.33,2020,41,10/09/2020
10/11/2020,The Final,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Djokovic N.,0.368,2.714,1,2,11260,9850,2.1,1.72,Player_1,Djokovic N.,0.368,1,11260,2.1,2020,41,10/11/2020
10/06/2020,Quarterfinals,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Sinner J.,0.579,1.727,75,2,788,9850,8,1.08,Player_2,Nadal R.,1.727,2,9850,1.08,2020,41,10/06/2020
10/09/2020,Semifinals,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Schwartzman D.,0.632,1.583,14,2,2505,9850,5.5,1.14,Player_2,Nadal R.,1.583,2,9850,1.14,2020,41,10/09/2020
10/11/2020,The Final,Outdoor,Clay,Grand Slam,French Open,1500,Nadal R.,Djokovic N.,0.368,2.714,1,2,11260,9850,2.1,1.72,Player_2,Nadal R.,2.714,2,9850,1.72,2020,41,10/11/2020
