player,rank,points,year,week,corr_date,absent
Federer R.,5,,2003,25,,
Nadal R.,87,,2003,25,,
Federer R.,5,-1,2003,26,06/23/2003,
Nadal R.,76,-1,2003,26,06/23/2003,
Federer R.,5,-1,2003,27,06/30/2003,
Nadal R.,76,,2003,27,,
Federer R.,3,-1,2003,28,07/08/2003,
Nadal R.,61,-1,2003,28,07/08/2003,
Federer R.,3,,2003,29,,
Nadal R.,56,-1,2003,29,07/15/2003,
Federer R.,3,,2003,30,,
Nadal R.,58,-1,2003,30,07/22/2003,
Federer R.,3,,2003,31,,
Nadal R.,58,,2003,31,,
Federer R.,3,-1,2003,32,08/05/2003,
Nadal R.,58,,2003,32,,
Federer R.,2,-1,2003,33,08/12/2003,
Nadal R.,58,,2003,33,,
Federer R.,2,,2003,34,,
Nadal R.,58,,2003,34,,
Federer R.,2,-1,2003,35,08/27/2003,
Nadal R.,45,-1,2003,35,08/27/2003,
Federer R.,2,-1,2003,36,09/01/2003,
Nadal R.,45,,2003,36,,
Federer R.,2,,2003,37,,
Nadal R.,45,,2003,37,,
Federer R.,2,,2003,38,,
Nadal R.,45,,2003,38,,
Federer R.,2,,2003,39,,
Nadal R.,45,,2003,39,,
Federer R.,2,,2003,40,,
Nadal R.,45,,2003,40,,
Federer R.,3,-1,2003,41,10/07/2003,
Nadal R.,47,-1,2003,41,10/06/2003,
Federer R.,3,-1,2003,42,10/15/2003,
Nadal R.,49,-1,2003,42,10/13/2003,
Federer R.,3,-1,2003,43,10/21/2003,
Nadal R.,48,-1,2003,43,10/22/2003,
Federer R.,3,-1,2003,44,10/29/2003,
Nadal R.,48,,2003,44,,
Federer R.,3,,2003,45,,
Nadal R.,48,,2003,45,,
Federer R.,3,-1,2003,46,11/12/2003,
Nadal R.,48,,2003,46,,
Federer R.,3,-1,2003,47,11/17/2003,
Nadal R.,48,,2003,47,,
Federer R.,3,,2003,48,,
Nadal R.,48,,2003,48,,
Federer R.,3,,2003,49,,
Nadal R.,48,,2003,49,,
Federer R.,3,,2003,50,,
Nadal R.,48,,2003,50,,
Federer R.,3,,2003,51,,
Nadal R.,48,,2003,51,,
Federer R.,3,,2003,52,,
Nadal R.,48,,2003,52,,
Federer R.,3,,2004,1,,
Nadal R.,48,,2004,1,,
Federer R.,3,,2004,2,,
Nadal R.,49,-1,2004,2,01/06/2004,
Federer R.,3,,2004,3,,
Nadal R.,48,-1,2004,3,01/13/2004,
Federer R.,2,-1,2004,4,01/20/2004,
Nadal R.,41,-1,2004,4,01/20/2004,
Federer R.,2,-1,2004,5,01/26/2004,
Nadal R.,41,,2004,5,,
Federer R.,2,,2004,6,,
Nadal R.,41,,2004,6,,
Federer R.,2,,2004,7,,
Nadal R.,41,-1,2004,7,02/11/2004,
Federer R.,1,-1,2004,8,02/18/2004,
Nadal R.,41,,2004,8,,
Federer R.,1,,2004,9,,
Nadal R.,41,,2004,9,,
Federer R.,1,-1,2004,10,03/02/2004,
Nadal R.,40,-1,2004,10,03/02/2004,
Federer R.,1,-1,2004,11,03/14/2004,
Nadal R.,36,-1,2004,11,03/13/2004,
Federer R.,1,-1,2004,12,03/15/2004,
Nadal R.,36,-1,2004,12,03/15/2004,
Federer R.,1,-1,2004,13,03/27/2004,
Nadal R.,36,,2004,13,,
Federer R.,1,-1,2004,14,03/29/2004,
Nadal R.,34,-1,2004,14,03/29/2004,
Federer R.,1,,2004,15,,
Nadal R.,34,,2004,15,,
Federer R.,1,,2004,16,,
Nadal R.,34,-1,2004,16,04/14/2004,
Federer R.,1,,2004,17,,
Nadal R.,34,,2004,17,,
Federer R.,1,,2004,18,,
Nadal R.,34,,2004,18,,
Federer R.,1,-1,2004,19,05/04/2004,
Nadal R.,34,,2004,19,,
Federer R.,1,-1,2004,20,05/11/2004,
Nadal R.,34,,2004,20,,
Federer R.,1,,2004,21,,
Nadal R.,34,,2004,21,,
Federer R.,1,-1,2004,22,05/25/2004,
Nadal R.,34,,2004,22,,
Federer R.,1,,2004,23,,
Nadal R.,34,,2004,23,,
Federer R.,1,-1,2004,24,06/08/2004,
Nadal R.,34,,2004,24,,
Federer R.,1,,2004,25,,
Nadal R.,34,,2004,25,,
Federer R.,1,-1,2004,26,06/21/2004,
Nadal R.,34,,2004,26,,
Federer R.,1,-1,2004,27,06/28/2004,
Nadal R.,34,,2004,27,,
Federer R.,1,-1,2004,28,07/06/2004,
Nadal R.,60,-1,2004,28,07/06/2004,
Federer R.,1,,2004,29,,
Nadal R.,57,-1,2004,29,07/14/2004,
Djokovic N.,368,-1,2004,30,07/20/2004,
Federer R.,1,,2004,30,,
Nadal R.,57,,2004,30,,
Djokovic N.,368,,2004,31,,
Federer R.,1,-1,2004,31,07/28/2004,
Nadal R.,62,-1,2004,31,07/28/2004,
Djokovic N.,368,,2004,32,,
Federer R.,1,-1,2004,32,08/03/2004,
Nadal R.,71,-1,2004,32,08/02/2004,
Djokovic N.,368,,2004,33,,
Federer R.,1,,2004,33,,
Nadal R.,71,-1,2004,33,08/10/2004,
Djokovic N.,368,,2004,34,,
Federer R.,1,,2004,34,,
Nadal R.,71,,2004,34,,
Djokovic N.,368,,2004,35,,
Federer R.,1,,2004,35,,
Nadal R.,71,,2004,35,,
Djokovic N.,368,,2004,36,,
Federer R.,1,-1,2004,36,08/30/2004,
Nadal R.,49,-1,2004,36,09/01/2004,
Djokovic N.,368,,2004,37,,
Federer R.,1,-1,2004,37,09/09/2004,
Nadal R.,49,,2004,37,,
Djokovic N.,272,-1,2004,38,09/14/2004,
Federer R.,1,,2004,38,,
Nadal R.,49,,2004,38,,
Djokovic N.,272,,2004,39,,
Federer R.,1,,2004,39,,
Nadal R.,49,,2004,39,,
Djokovic N.,248,-1,2004,40,09/28/2004,Y
Federer R.,1,-1,2004,40,09/28/2004,
Nadal R.,49,-1,2004,40,09/28/2004,
Djokovic N.,248,,2004,41,,
Federer R.,1,,2004,41,,
Nadal R.,50,-1,2004,41,10/06/2004,
Djokovic N.,248,,2004,42,,
Federer R.,1,,2004,42,,
Nadal R.,50,,2004,42,,
Djokovic N.,248,,2004,43,,
Federer R.,1,,2004,43,,
Nadal R.,50,-1,2004,43,10/19/2004,
Djokovic N.,248,,2004,44,,
Federer R.,1,,2004,44,,
Nadal R.,48,-1,2004,44,10/27/2004,
Djokovic N.,248,,2004,45,,
Federer R.,1,,2004,45,,
Nadal R.,48,,2004,45,,
Djokovic N.,248,,2004,46,,
Federer R.,1,,2004,46,,
Nadal R.,48,,2004,46,,
Djokovic N.,248,,2004,47,,
Federer R.,1,-1,2004,47,11/15/2004,
Nadal R.,48,,2004,47,,
Djokovic N.,248,,2004,48,,
Federer R.,1,,2004,48,,
Nadal R.,48,,2004,48,,
Djokovic N.,248,,2004,49,,
Federer R.,1,,2004,49,,
Nadal R.,48,,2004,49,,
Djokovic N.,248,,2004,50,,
Federer R.,1,,2004,50,,
Nadal R.,48,,2004,50,,
Djokovic N.,248,,2004,51,,
Federer R.,1,,2004,51,,
Nadal R.,48,,2004,51,,
Djokovic N.,248,,2004,52,,
Federer R.,1,,2004,52,,
Nadal R.,48,,2004,52,,
Djokovic N.,248,,2005,1,,
Federer R.,1,-1,2005,1,01/03/2005,
Nadal R.,51,-1,2005,1,01/04/2005,
Djokovic N.,248,,2005,2,,
Federer R.,1,,2005,2,,
Nadal R.,51,,2005,2,,
Djokovic N.,188,-1,2005,3,01/17/2005,Y
Federer R.,1,-1,2005,3,01/17/2005,
Nadal R.,56,-1,2005,3,01/18/2005,
Djokovic N.,188,,2005,4,,
Federer R.,1,-1,2005,4,01/25/2005,
Nadal R.,56,-1,2005,4,01/24/2005,
Djokovic N.,188,,2005,5,,
Federer R.,1,,2005,5,,
Nadal R.,56,,2005,5,,
Djokovic N.,188,,2005,6,,
Federer R.,1,,2005,6,,
Nadal R.,48,-1,2005,6,02/08/2005,
Djokovic N.,188,,2005,7,,
Federer R.,1,-1,2005,7,02/16/2005,
Nadal R.,48,-1,2005,7,02/16/2005,
Djokovic N.,188,,2005,8,,
Federer R.,1,-1,2005,8,02/23/2005,
Nadal R.,39,-1,2005,8,02/22/2005,
Djokovic N.,188,,2005,9,,
Federer R.,1,,2005,9,,
Nadal R.,39,,2005,9,,
Djokovic N.,188,,2005,10,,
Federer R.,1,-1,2005,10,03/13/2005,
Nadal R.,39,,2005,10,,
Djokovic N.,188,,2005,11,,
Federer R.,1,-1,2005,11,03/15/2005,
Nadal R.,39,,2005,11,,
Djokovic N.,188,,2005,12,,
Federer R.,1,-1,2005,12,03/26/2005,
Nadal R.,31,-1,2005,12,03/25/2005,
Djokovic N.,188,,2005,13,,
Federer R.,1,-1,2005,13,03/29/2005,
Nadal R.,31,-1,2005,13,03/29/2005,
Djokovic N.,160,-1,2005,14,04/05/2005,
Federer R.,1,,2005,14,,
Nadal R.,17,-1,2005,14,04/06/2005,
Djokovic N.,160,,2005,15,,
Federer R.,1,-1,2005,15,04/12/2005,
Nadal R.,17,-1,2005,15,04/11/2005,
Djokovic N.,160,,2005,16,,
Federer R.,1,,2005,16,,
Nadal R.,11,-1,2005,16,04/20/2005,
Djokovic N.,160,,2005,17,,
Federer R.,1,,2005,17,,
Nadal R.,11,,2005,17,,
Djokovic N.,160,,2005,18,,
Federer R.,1,,2005,18,,
Nadal R.,7,-1,2005,18,05/03/2005,
Djokovic N.,160,,2005,19,,
Federer R.,1,-1,2005,19,05/09/2005,
Nadal R.,7,,2005,19,,
Djokovic N.,160,,2005,20,,
Federer R.,1,,2005,20,,
Nadal R.,7,,2005,20,,
Djokovic N.,153,-1,2005,21,05/24/2005,
Federer R.,1,-1,2005,21,05/23/2005,
Nadal R.,5,-1,2005,21,05/23/2005,
Djokovic N.,153,,2005,22,,
Federer R.,1,-1,2005,22,05/31/2005,
Nadal R.,5,-1,2005,22,05/30/2005,
Djokovic N.,153,,2005,23,,
Federer R.,1,-1,2005,23,06/07/2005,
Nadal R.,3,-1,2005,23,06/08/2005,
Djokovic N.,153,,2005,24,,
Federer R.,1,,2005,24,,
Nadal R.,3,,2005,24,,
Djokovic N.,128,-1,2005,25,06/21/2005,
Federer R.,1,-1,2005,25,06/20/2005,
Nadal R.,3,-1,2005,25,06/21/2005,
Djokovic N.,128,,2005,26,,
Federer R.,1,-1,2005,26,06/27/2005,
Nadal R.,3,,2005,26,,
Djokovic N.,128,,2005,27,,
Federer R.,1,,2005,27,,
Nadal R.,3,3635,2005,27,07/05/2005,
Djokovic N.,128,,2005,28,,
Federer R.,1,,2005,28,,
Nadal R.,3,,2005,28,,
Djokovic N.,128,,2005,29,,
Federer R.,1,,2005,29,,
Nadal R.,3,3750,2005,29,07/20/2005,
Djokovic N.,97,417,2005,30,07/26/2005,
Federer R.,1,,2005,30,,
Nadal R.,3,,2005,30,,
Djokovic N.,97,,2005,31,,
Federer R.,1,,2005,31,,
Nadal R.,3,,2005,31,,
Djokovic N.,97,,2005,32,,
Federer R.,1,,2005,32,,
Nadal R.,2,4030,2005,32,08/09/2005,
Djokovic N.,97,440,2005,33,08/15/2005,
Federer R.,1,6500,2005,33,08/16/2005,
Nadal R.,2,4355,2005,33,08/17/2005,
Djokovic N.,97,,2005,34,,
Federer R.,1,,2005,34,,
Nadal R.,2,,2005,34,,
Djokovic N.,97,431,2005,35,08/30/2005,
Federer R.,1,6975,2005,35,08/30/2005,
Nadal R.,2,4320,2005,35,08/29/2005,
Djokovic N.,97,,2005,36,,
Federer R.,1,6975,2005,36,09/05/2005,
Nadal R.,2,,2005,36,,
Djokovic N.,97,,2005,37,,
Federer R.,1,,2005,37,,
Nadal R.,2,4360,2005,37,09/14/2005,
Djokovic N.,97,,2005,38,,
Federer R.,1,,2005,38,,
Nadal R.,2,,2005,38,,
Djokovic N.,97,,2005,39,,
Federer R.,1,6975,2005,39,09/28/2005,
Nadal R.,2,,2005,39,,
Djokovic N.,97,,2005,40,,
Federer R.,1,,2005,40,,
Nadal R.,2,,2005,40,,
Djokovic N.,97,,2005,41,,
Federer R.,1,,2005,41,,
Nadal R.,2,,2005,41,,
Djokovic N.,97,,2005,42,,
Federer R.,1,,2005,42,,
Nadal R.,2,4475,2005,42,10/19/2005,Y
Djokovic N.,88,468,2005,43,10/24/2005,
Federer R.,1,,2005,43,,
Nadal R.,2,,2005,43,,
Djokovic N.,85,488,2005,44,11/01/2005,
Federer R.,1,,2005,44,,
Nadal R.,2,,2005,44,,
Djokovic N.,85,,2005,45,,
Federer R.,1,6225,2005,45,11/13/2005,
Nadal R.,2,,2005,45,,
Djokovic N.,85,,2005,46,,
Federer R.,1,6225,2005,46,11/15/2005,
Nadal R.,2,,2005,46,,
Djokovic N.,85,,2005,47,,
Federer R.,1,,2005,47,,
Nadal R.,2,,2005,47,,
Djokovic N.,85,,2005,48,,
Federer R.,1,,2005,48,,
Nadal R.,2,,2005,48,,
Djokovic N.,85,,2005,49,,
Federer R.,1,,2005,49,,
Nadal R.,2,,2005,49,,
Djokovic N.,85,,2005,50,,
Federer R.,1,,2005,50,,
Nadal R.,2,,2005,50,,
Djokovic N.,85,,2005,51,,
Federer R.,1,,2005,51,,
Nadal R.,2,,2005,51,,
Djokovic N.,85,,2005,52,,
Federer R.,1,,2005,52,,
Nadal R.,2,,2005,52,,
Djokovic N.,85,,2006,1,,
Federer R.,1,6725,2006,1,01/03/2006,
Nadal R.,2,,2006,1,,
Djokovic N.,85,,2006,2,,
Federer R.,1,,2006,2,,
Nadal R.,2,,2006,2,,
Djokovic N.,76,502,2006,3,01/17/2006,
Federer R.,1,6725,2006,3,01/17/2006,
Nadal R.,2,,2006,3,,
Djokovic N.,76,,2006,4,,
Federer R.,1,6725,2006,4,01/23/2006,
Nadal R.,2,,2006,4,,
Djokovic N.,81,487,2006,5,01/30/2006,
Federer R.,1,,2006,5,,
Nadal R.,2,,2006,5,,
Djokovic N.,81,,2006,6,,
Federer R.,1,,2006,6,,
Nadal R.,2,,2006,6,,
Djokovic N.,81,,2006,7,,
Federer R.,1,,2006,7,,
Nadal R.,2,4615,2006,7,02/14/2006,Y
Djokovic N.,72,548,2006,8,02/21/2006,
Federer R.,1,,2006,8,,
Nadal R.,2,,2006,8,,
Djokovic N.,72,,2006,9,,
Federer R.,1,6725,2006,9,02/28/2006,
Nadal R.,2,4455,2006,9,02/28/2006,
Djokovic N.,67,591,2006,10,03/11/2006,
Federer R.,1,,2006,10,,
Nadal R.,2,4665,2006,10,03/12/2006,
Djokovic N.,67,,2006,11,,
Federer R.,1,6935,2006,11,03/13/2006,
Nadal R.,2,4665,2006,11,03/15/2006,
Djokovic N.,66,596,2006,12,03/24/2006,
Federer R.,1,6935,2006,12,03/25/2006,
Nadal R.,2,4890,2006,12,03/24/2006,
Djokovic N.,66,,2006,13,,
Federer R.,1,6935,2006,13,03/28/2006,
Nadal R.,2,,2006,13,,
Djokovic N.,66,,2006,14,,
Federer R.,1,,2006,14,,
Nadal R.,2,,2006,14,,
Djokovic N.,66,,2006,15,,
Federer R.,1,,2006,15,,
Nadal R.,2,,2006,15,,
Djokovic N.,67,606,2006,16,04/17/2006,
Federer R.,1,6810,2006,16,04/17/2006,
Nadal R.,2,4135,2006,16,04/18/2006,
Djokovic N.,66,614,2006,17,04/24/2006,
Federer R.,1,,2006,17,,
Nadal R.,2,4335,2006,17,04/26/2006,
Djokovic N.,66,,2006,18,,
Federer R.,1,,2006,18,,
Nadal R.,2,,2006,18,,
Djokovic N.,66,,2006,19,,
Federer R.,1,7160,2006,19,05/08/2006,
Nadal R.,2,4135,2006,19,05/09/2006,
Djokovic N.,71,577,2006,20,05/15/2006,
Federer R.,1,,2006,20,,
Nadal R.,2,,2006,20,,
Djokovic N.,71,,2006,21,,
Federer R.,1,7010,2006,21,05/28/2006,
Nadal R.,2,,2006,21,,
Djokovic N.,63,627,2006,22,05/30/2006,
Federer R.,1,7010,2006,22,05/31/2006,
Nadal R.,2,4545,2006,22,05/29/2006,
Djokovic N.,63,627,2006,23,06/05/2006,
Federer R.,1,7010,2006,23,06/06/2006,
Nadal R.,2,4545,2006,23,06/05/2006,
Djokovic N.,40,827,2006,24,06/18/2006,
Federer R.,1,7035,2006,24,06/14/2006,
Nadal R.,2,4545,2006,24,06/14/2006,
Djokovic N.,40,827,2006,25,06/21/2006,
Federer R.,1,,2006,25,,
Nadal R.,2,,2006,25,,
Djokovic N.,39,841,2006,26,06/27/2006,
Federer R.,1,7260,2006,26,06/27/2006,
Nadal R.,2,4545,2006,26,06/27/2006,
Djokovic N.,39,841,2006,27,07/03/2006,
Federer R.,1,7260,2006,27,07/03/2006,
Nadal R.,2,4545,2006,27,07/03/2006,
Djokovic N.,39,,2006,28,,
Federer R.,1,,2006,28,,
Nadal R.,2,,2006,28,,
Djokovic N.,36,901,2006,29,07/17/2006,
Federer R.,1,,2006,29,,
Nadal R.,2,,2006,29,,
Djokovic N.,28,1071,2006,30,07/25/2006,
Federer R.,1,,2006,30,,
Nadal R.,2,,2006,30,,
Djokovic N.,28,,2006,31,,
Federer R.,1,,2006,31,,
Nadal R.,2,,2006,31,,
Djokovic N.,28,,2006,32,,
Federer R.,1,7260,2006,32,08/09/2006,
Nadal R.,2,4930,2006,32,08/08/2006,
Djokovic N.,24,1168,2006,33,08/15/2006,
Federer R.,1,7760,2006,33,08/16/2006,
Nadal R.,2,4505,2006,33,08/15/2006,
Djokovic N.,24,,2006,34,,
Federer R.,1,,2006,34,,
Nadal R.,2,,2006,34,,
Djokovic N.,23,1183,2006,35,08/28/2006,
Federer R.,1,7295,2006,35,08/30/2006,
Nadal R.,2,4625,2006,35,08/30/2006,
Djokovic N.,23,,2006,36,,
Federer R.,1,7295,2006,36,09/04/2006,
Nadal R.,2,4625,2006,36,09/04/2006,
Djokovic N.,23,,2006,37,,
Federer R.,1,,2006,37,,
Nadal R.,2,,2006,37,,
Djokovic N.,23,,2006,38,,
Federer R.,1,,2006,38,,
Nadal R.,2,,2006,38,,
Djokovic N.,23,,2006,39,,
Federer R.,1,,2006,39,,
Nadal R.,2,,2006,39,,
Djokovic N.,22,1183,2006,40,10/03/2006,
Federer R.,1,7120,2006,40,10/04/2006,
Nadal R.,2,,2006,40,,
Djokovic N.,16,1350,2006,41,10/11/2006,
Federer R.,1,,2006,41,,
Nadal R.,2,4625,2006,41,10/10/2006,
Djokovic N.,17,1360,2006,42,10/18/2006,
Federer R.,1,7370,2006,42,10/17/2006,
Nadal R.,2,4645,2006,42,10/18/2006,
Djokovic N.,17,,2006,43,,
Federer R.,1,7870,2006,43,10/24/2006,
Nadal R.,2,,2006,43,,
Djokovic N.,16,1465,2006,44,11/01/2006,
Federer R.,1,,2006,44,,
Nadal R.,2,,2006,44,,
Djokovic N.,16,,2006,45,,
Federer R.,1,7620,2006,45,11/12/2006,
Nadal R.,2,,2006,45,,
Djokovic N.,16,,2006,46,,
Federer R.,1,7620,2006,46,11/14/2006,
Nadal R.,2,4270,2006,46,11/13/2006,
Djokovic N.,16,,2006,47,,
Federer R.,1,,2006,47,,
Nadal R.,2,,2006,47,,
Djokovic N.,16,,2006,48,,
Federer R.,1,,2006,48,,
Nadal R.,2,,2006,48,,
Djokovic N.,16,,2006,49,,
Federer R.,1,,2006,49,,
Nadal R.,2,,2006,49,,
Djokovic N.,16,,2006,50,,
Federer R.,1,,2006,50,,
Nadal R.,2,,2006,50,,
Djokovic N.,16,,2006,51,,
Federer R.,1,,2006,51,,
Nadal R.,2,,2006,51,,
Djokovic N.,16,,2006,52,,
Federer R.,1,,2006,52,,
Nadal R.,2,,2006,52,,
Djokovic N.,16,1380,2007,1,01/05/2007,
Federer R.,1,,2007,1,,
Nadal R.,2,4470,2007,1,01/02/2007,
Djokovic N.,16,,2007,2,,
Federer R.,1,,2007,2,,
Nadal R.,2,,2007,2,,
Djokovic N.,15,1530,2007,3,01/15/2007,
Federer R.,1,8120,2007,3,01/15/2007,
Nadal R.,2,4525,2007,3,01/16/2007,
Djokovic N.,15,,2007,4,,
Federer R.,1,8120,2007,4,01/23/2007,
Nadal R.,2,4525,2007,4,01/22/2007,
Djokovic N.,15,,2007,5,,
Federer R.,1,,2007,5,,
Nadal R.,2,,2007,5,,
Djokovic N.,15,,2007,6,,
Federer R.,1,,2007,6,,
